tag	name	vr	vm	is_retired
(0008,0413)	General Matching Sequence	SQ	1	false
(0008,0414)	Requested Status Interval	US	1	false
(0008,0415)	Retain Instances	CS	1	false
(0008,0416)	Expiration DateTime	DT	1	false
(0008,0417)	Transaction Status	CS	1	false
(0008,0418)	Transaction Status Comment	LT	1	false
(0008,0419)	File Set Access Sequence	SQ	1	false
(0008,041A)	File Access Sequence	SQ	1	false
(0008,041B)	Record Key	OB	1	false
(0008,041C)	Prior Record Key	OB	1	false
(0008,041D)	Metadata Sequence	SQ	1	false
(0008,041E)	Updated Metadata Sequence	SQ	1	false
(0008,041F)	Study Update DateTime	DT	1	false
(0008,0420)	Inventory Access End Points Sequence	SQ	1	false
(0008,0421)	Study Access End Points Sequence	SQ	1	false
(0008,0422)	Incorporated Inventory Instance Sequence	SQ	1	false
(0008,0423)	Inventoried Studies Sequence	SQ	1	false
(0008,0424)	Inventoried Series Sequence	SQ	1	false
(0008,0425)	Inventoried Instances Sequence	SQ	1	false
(0008,0426)	Inventory Completion Status	CS	1	false
(0008,0427)	Number of Study Records in Instance	UL	1	false
(0008,0428)	Total Number of Study Records	UV	1	false
(0008,0429)	Maximum Number of Records	UV	1	false
(0008,1000)	Network ID	AE	1	true
(0008,1010)	Station Name	SH	1	false
(0008,1030)	Study Description	LO	1	false
(0008,1032)	Procedure Code Sequence	SQ	1	false
(0008,103E)	Series Description	LO	1	false
(0008,103F)	Series Description Code Sequence	SQ	1	false
(0008,1040)	Institutional Department Name	LO	1	false
(0008,1041)	Institutional Department Type Code Sequence	SQ	1	false
(0008,1048)	Physician(s) of Record	PN	1-n	false
(0008,1049)	Physician(s) of Record Identification Sequence	SQ	1	false
(0008,1050)	Performing Physician&#x27;s Name	PN	1-n	false
(0008,1052)	Performing Physician Identification Sequence	SQ	1	false
(0008,1060)	Name of Physician(s) Reading Study	PN	1-n	false
(0008,1062)	Physician(s) Reading Study Identification Sequence	SQ	1	false
(0008,1070)	Operators&#x27; Name	PN	1-n	false
(0008,1072)	Operator Identification Sequence	SQ	1	false
(0008,1080)	Admitting Diagnoses Description	LO	1-n	false
(0008,1084)	Admitting Diagnoses Code Sequence	SQ	1	false
(0008,1088)	Pyramid Description	LO	1	false
(0008,1090)	Manufacturer&#x27;s Model Name	LO	1	false
(0008,1100)	Referenced Results Sequence	SQ	1	true
(0008,1110)	Referenced Study Sequence	SQ	1	false
(0008,1111)	Referenced Performed Procedure Step Sequence	SQ	1	false
(0008,1112)	Referenced Instances by SOP Class Sequence	SQ	1	false
(0008,1115)	Referenced Series Sequence	SQ	1	false
(0008,1120)	Referenced Patient Sequence	SQ	1	false
(0008,1125)	Referenced Visit Sequence	SQ	1	false
(0008,1130)	Referenced Overlay Sequence	SQ	1	true
(0008,1134)	Referenced Stereometric Instance Sequence	SQ	1	false
(0008,113A)	Referenced Waveform Sequence	SQ	1	false
(0008,1140)	Referenced Image Sequence	SQ	1	false
(0008,1145)	Referenced Curve Sequence	SQ	1	true
(0008,114A)	Referenced Instance Sequence	SQ	1	false
(0008,114B)	Referenced Real World Value Mapping Instance Sequence	SQ	1	false
(0008,114C)	Referenced Segmentation Sequence	SQ	1	false
(0008,114D)	Referenced Surface Segmentation Sequence	SQ	1	false
(0008,1150)	Referenced SOP Class UID	UI	1	false
(0008,1155)	Referenced SOP Instance UID	UI	1	false
(0008,1156)	Definition Source Sequence	SQ	1	false
(0008,115A)	SOP Classes Supported	UI	1-n	false
(0008,1160)	Referenced Frame Number	IS	1-n	false
(0008,1161)	Simple Frame List	UL	1-n	false
(0008,1162)	Calculated Frame List	UL	3-3n	false
(0008,1163)	Time Range	FD	2	false
(0008,1164)	Frame Extraction Sequence	SQ	1	false
(0008,1167)	Multi-frame Source SOP Instance UID	UI	1	false
(0008,1190)	Retrieve URL	UR	1	false
(0008,1195)	Transaction UID	UI	1	false
(0008,1196)	Warning Reason	US	1	false
(0008,1197)	Failure Reason	US	1	false
(0008,1198)	Failed SOP Sequence	SQ	1	false
(0008,1199)	Referenced SOP Sequence	SQ	1	false
(0008,119A)	Other Failures Sequence	SQ	1	false
(0008,119B)	Failed Study Sequence	SQ	1	false
(0008,1200)	Studies Containing Other Referenced Instances Sequence	SQ	1	false
(0008,1250)	Related Series Sequence	SQ	1	false
(0008,1301)	Principal Diagnosis Code Sequence	SQ	1	false
(0008,1302)	Primary Diagnosis Code Sequence	SQ	1	false
(0008,1303)	Secondary Diagnoses Code Sequence	SQ	1	false
(0008,1304)	Histological Diagnoses Code Sequence	SQ	1	false
(0008,2110)	Lossy Image Compression (Retired)	CS	1	true
(0008,2111)	Derivation Description	ST	1	false
(0008,2112)	Source Image Sequence	SQ	1	false
(0008,2120)	Stage Name	SH	1	false
(0008,2122)	Stage Number	IS	1	false
(0008,2124)	Number of Stages	IS	1	false
